feature,mutual_info
refdiag1,0.6587467805367313
facility ref level,0.6284946158385201
UTH department,0.3417033604372084
UTH referral?,0.33711746853181523
entdiag1,0.3296649067520767
age,0.1544621529650243
reason for referral,0.0710288336635938
attendance,0.053823682538555406
specialtyentdx1,0.032477136911550186
age_group,0.010079981584420139
