antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
"frozenset({'reason_treatment', 'spec_head_neck', 'uth_oui'})","frozenset({'target_inappropriate', 'level_haut'})",0.18081659105638367,0.41801685029163965,0.12961762799740764,0.7168458781362007,1.7148731627351284,1.0,0.05403324612354668,2.0553582122611713,0.5088805379746836,0.2762430939226519,0.5134668039689952,0.5134616987580228,"reason_treatment, spec_head_neck, uth_oui","target_inappropriate, level_haut"
"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck', 'uth_oui'})",frozenset({'target_inappropriate'}),0.18081659105638367,0.5035644847699287,0.12961762799740764,0.7168458781362007,1.4235433590272302,1.0,0.03856481448424491,1.7532342879644292,0.3632001582278482,0.2336448598130841,0.42962557436574117,0.48712306776822906,"level_haut, reason_treatment, spec_head_neck, uth_oui",target_inappropriate
"frozenset({'reason_treatment', 'spec_head_neck', 'uth_oui'})",frozenset({'target_inappropriate'}),0.18081659105638367,0.5035644847699287,0.12961762799740764,0.7168458781362007,1.4235433590272302,1.0,0.03856481448424491,1.7532342879644292,0.3632001582278482,0.2336448598130841,0.42962557436574117,0.48712306776822906,"reason_treatment, spec_head_neck, uth_oui",target_inappropriate
