Métrique,Decision Tree,Random Forest
Accuracy,0.6424870466321243,0.7564766839378239
Precision,0.6569885773404393,0.755159251853243
Recall,0.6424870466321243,0.7564766839378239
F1-score,0.6434864895239343,0.7545532588374824
AUC-ROC,0.7322275985024368,0.8395131084910443
