,referral appropriateness
referral appropriateness,1.0
facility ref level,0.6516004653434376
reason,0.5095102614396094
UTH referral?,0.4290072956134737
UTH department ,0.20604584950895885
additional entdiag1 information,0.12830903095375368
refdiag1,0.12659453751696792
entdiag1,0.12600775403911874
age,0.07610237805082115
specialtyentdx1,0.03426164651687261
attendance,0.006275302519263956
reason for referral,0.0033018974848249166
