feature,importance
facility ref level,0.2719125223294829
refdiag1,0.1966344601895739
entdiag1,0.1602396662560605
age,0.09046180759111878
UTH referral?,0.08809872076409653
UTH department,0.060176899424709794
specialtyentdx1,0.04097435957418148
reason for referral,0.03713745645405122
age_group,0.030288657813963317
attendance,0.0240754496027616
