antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
"frozenset({'level_haut', 'target_inappropriate', 'reason_treatment', 'attendance_review'})",frozenset({'uth_oui'}),0.14906027219701878,0.7077122488658457,0.14452365521710953,0.9695652173913044,1.369999203694856,1.0,0.03903187476400226,9.603740394407946,0.31738154843425015,0.20291173794358508,0.8958739034030659,0.5868888358018793,"level_haut, target_inappropriate, reason_treatment, attendance_review",uth_oui
"frozenset({'level_haut', 'target_appropriate', 'reason_treatment'})",frozenset({'uth_oui'}),0.21451717433570966,0.7077122488658457,0.20479585223590407,0.9546827794561933,1.3489702643781194,1.0,0.0529794203664323,6.4498163750269955,0.3293436938630572,0.2854561878952123,0.8449568263878188,0.6220300344167413,"level_haut, target_appropriate, reason_treatment",uth_oui
"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'target_appropriate'})",frozenset({'uth_oui'}),0.11147116007777058,0.7077122488658457,0.10628645495787427,0.9534883720930232,1.3472825623988414,1.0,0.02739694957555057,6.2841866493843055,0.2901033605522051,0.14909090909090908,0.840870417160831,0.5518357611380866,"level_haut, reason_treatment, attendance_first, target_appropriate",uth_oui
"frozenset({'level_haut', 'attendance_review', 'target_appropriate'})",frozenset({'uth_oui'}),0.15035644847699287,0.7077122488658457,0.14322747893713544,0.9525862068965517,1.346007799671593,1.0,0.03681837865400116,6.164614387556707,0.30255305783640685,0.20036264732547598,0.8377838519764508,0.5774835796387521,"level_haut, attendance_review, target_appropriate",uth_oui
"frozenset({'level_haut', 'spec_otology'})","frozenset({'uth_oui', 'reason_treatment'})",0.22488658457550226,0.5463383020090732,0.16526247569669475,0.7348703170028819,1.345082917123899,1.0,0.04239832093509502,1.7110935782918653,0.33098563840251827,0.27272727272727276,0.4155784273363525,0.5186807101028644,"level_haut, spec_otology","uth_oui, reason_treatment"
"frozenset({'target_inappropriate', 'age_adulte'})","frozenset({'level_haut', 'reason_treatment', 'uth_oui'})",0.18016850291639663,0.5463383020090732,0.1322099805573558,0.7338129496402878,1.3431475460201234,1.0,0.03377702659849492,1.7042966492091574,0.3116252034410603,0.22246455834242096,0.41324768756423436,0.48790291610128267,"target_inappropriate, age_adulte","level_haut, reason_treatment, uth_oui"
"frozenset({'target_inappropriate', 'age_adulte'})","frozenset({'uth_oui', 'reason_treatment'})",0.18016850291639663,0.5463383020090732,0.1322099805573558,0.7338129496402878,1.3431475460201234,1.0,0.03377702659849492,1.7042966492091574,0.3116252034410603,0.22246455834242096,0.41324768756423436,0.48790291610128267,"target_inappropriate, age_adulte","uth_oui, reason_treatment"
"frozenset({'level_haut', 'target_appropriate'})",frozenset({'uth_oui'}),0.3123784834737524,0.7077122488658457,0.2968243681140635,0.950207468879668,1.3426466341404102,1.0,0.07575028907755174,5.870112335277593,0.3711378817873885,0.4103942652329749,0.8296455088277777,0.6848106941467937,"level_haut, target_appropriate",uth_oui
"frozenset({'level_haut', 'target_appropriate', 'attendance_first'})",frozenset({'uth_oui'}),0.16137394685677253,0.7077122488658457,0.15294880103694103,0.9477911646586346,1.3392323874251586,1.0,0.038742482198577066,5.598434617877265,0.3020459487072015,0.21357466063348415,0.8213786409496078,0.5819541903879253,"level_haut, target_appropriate, attendance_first",uth_oui
"frozenset({'level_haut', 'target_appropriate', 'spec_rhinology'})",frozenset({'uth_oui'}),0.11147116007777058,0.7077122488658457,0.10563836681788723,0.9476744186046511,1.3390674248232388,1.0,0.02674886143556353,5.585943688341605,0.2849784985210741,0.148047229791099,0.8209792193059349,0.5484709089360251,"level_haut, target_appropriate, spec_rhinology",uth_oui
"frozenset({'uth_oui', 'spec_otology'})","frozenset({'level_haut', 'reason_treatment'})",0.18600129617627997,0.6694750486066104,0.16526247569669475,0.8885017421602788,1.3271618471958473,1.0,0.04073924889818717,2.9643956578094635,0.30284126389409277,0.23943661971830987,0.6626631140260983,0.5676777829872062,"uth_oui, spec_otology","level_haut, reason_treatment"
"frozenset({'target_inappropriate', 'uth_oui', 'age_adulte'})","frozenset({'level_haut', 'reason_treatment'})",0.14970836033700582,0.6694750486066104,0.1322099805573558,0.8831168831168832,1.3191184420613271,1.0,0.03198396874392288,2.8278245841434457,0.2845117467718797,0.19245283018867926,0.6463712757830408,0.540299971084095,"target_inappropriate, uth_oui, age_adulte","level_haut, reason_treatment"
"frozenset({'level_haut', 'attendance_first', 'spec_otology'})","frozenset({'reason_treatment', 'uth_oui'})",0.14517174335709657,0.5463383020090732,0.10434219053791316,0.71875,1.3155768090154212,1.0,0.025029306772500065,1.6130193706344065,0.2806144312225995,0.17770419426048567,0.3800446428571429,0.4548672894424674,"level_haut, attendance_first, spec_otology","reason_treatment, uth_oui"
"frozenset({'target_inappropriate', 'attendance_review', 'uth_oui'})","frozenset({'level_haut', 'reason_treatment'})",0.1678548282566429,0.6694750486066104,0.14452365521710953,0.861003861003861,1.2860880518189328,1.0,0.03214903591113927,2.3779434003024407,0.26731905620049456,0.2086061739943873,0.5794685441744264,0.5384399750324242,"target_inappropriate, attendance_review, uth_oui","level_haut, reason_treatment"
"frozenset({'uth_oui', 'attendance_first', 'spec_otology'})","frozenset({'level_haut', 'reason_treatment'})",0.12119248217757615,0.6694750486066104,0.10434219053791316,0.8609625668449198,1.28602637041792,1.0,0.023206847641324593,2.3772371504063017,0.25308268748053286,0.15203021718602455,0.5793436091013946,0.5084096474108433,"uth_oui, attendance_first, spec_otology","level_haut, reason_treatment"
